785,2,10
661,4,25
39,1,20
545,3,40
461,1,20
561,2,10
971,4,25
480,2,10
36,1,20
358,2,10
519,3,40
660,4,25
56,2,10
403,1,20
770,2,10
878,4,25
694,2,10
653,3,40
493,1,20
422,2,10
51,4,25
410,2,10
45,1,20
24,2,10
329,4,25
603,2,10
711,3,40
396,1,20
366,2,10
619,2,10
181,1,20
12,4,25
811,2,10
107,3,40
145,2,10
146,1,20
179,4,25
79,2,10
269,1,20
776,2,10
707,4,25
560,2,10
528,3,40
212,1,20
35,2,10
909,2,10
206,4,25
885,1,20
83,3,40
470,2,10
967,1,20
908,4,25
611,2,10
422,2,10
444,4,25
108,1,20
96,2,10
817,3,40
695,2,10
971,1,20
589,4,25
102,2,10
73,2,10
782,1,20
61,3,40
94,4,25
6,2,10
62,2,10
28,1,20
347,2,10
496,4,25
139,1,20
133,2,10
779,3,40
347,2,10
53,1,20
496,4,25
467,2,10
502,2,10
967,1,20
810,2,10
905,4,25
855,3,40
376,2,10
280,1,20
642,2,10
757,4,25
221,2,10
351,1,20
738,3,40
530,2,10
632,4,25
827,2,10
267,1,20
865,2,10
419,4,25
724,2,10
153,1,20
700,3,40
523,2,10
931,2,10
363,1,20
665,4,25
588,2,10
675,1,20
830,2,10
76,3,40
121,4,25
796,2,10
1,1,20
670,2,10
372,4,25
236,2,10
46,1,20
42,3,40
843,2,10
823,2,10
908,4,25
712,1,20
613,2,10
539,2,10
563,1,20
42,3,40
585,4,25
45,2,10
967,2,10
301,1,20
908,2,10
871,4,25
695,2,10
304,1,20
732,3,40
589,2,10
997,4,25
62,2,10
278,1,20
347,2,10
905,2,10
687,3,40
934,4,25
875,1,20
757,2,10
604,1,20
827,2,10
128,4,25
46,2,10
168,3,40
668,1,20
908,2,10
611,4,25
613,2,10
875,1,20
539,2,10
875,2,10
994,4,25
686,3,40
175,1,20
128,2,10
263,4,25
224,1,20
668,2,10
686,2,10
317,3,40
226,1,20
175,2,10
679,4,25
263,2,10
40,1,20
761,4,25
490,3,40
717,1,20
298,4,25
215,1,20
215,2,10
610,3,40
222,4,25
602,1,20
40,1,20
512,4,25
40,2,10
239,3,40
512,2,10
471,1,20
935,4,25
239,2,10
711,1,20
935,2,10
919,3,40
711,2,10
510,4,25
485,1,20
277,4,25
785,1,20
594,3,40
358,1,20
139,4,25
493,1,20
851,4,25
599,3,40
603,1,20
851,2,10
623,4,25
366,1,20
216,3,40
230,4,25
619,1,20
230,2,10
12,1,20
997,4,25
273,3,40
885,1,20
741,4,25
470,1,20
837,3,40
238,4,25
422,1,20
817,1,20
536,4,25
940,3,40
940,2,10
6,1,20
155,4,25
347,1,20
212,3,40
192,4,25
139,1,20
93,4,25
467,1,20
460,3,40
168,4,25
967,1,20
855,1,20
344,4,25
735,3,40
376,1,20
156,4,25
738,1,20
866,3,40
84,4,25
866,2,10
530,1,20
976,4,25
632,1,20
52,3,40
976,2,10
52,2,10
700,1,20
726,4,25
675,1,20
917,3,40
712,4,25
796,1,20
454,4,25
582,3,40
1,1,20
461,4,25
42,1,20
561,4,25
440,3,40
823,1,20
712,1,20
480,4,25
31,3,40
871,1,20
519,4,25
934,1,20
660,4,25
403,3,40
317,1,20
770,4,25
40,1,20
694,3,40
490,1,20
878,4,25
602,1,20
410,4,25
422,3,40
919,1,20
24,4,25
155,1,20
51,3,40
329,4,25
168,1,20
145,4,25
156,1,20
711,3,40
84,1,20
79,4,25
454,1,20
269,4,25
181,3,40
776,4,25
811,3,40
909,4,25
83,4,25
146,3,40
611,4,25
560,3,40
444,4,25
971,4,25
108,3,40
94,4,25
61,3,40
133,4,25
496,4,25
280,3,40
502,4,25
351,3,40
642,4,25
221,4,25
267,3,40
865,4,25
153,4,25
724,3,40
843,4,25
665,3,40
42,4,25
304,4,25
588,3,40
732,4,25
76,3,40
997,4,25
687,4,25
670,3,40
604,4,25
563,3,40
224,4,25
717,4,25
301,3,40
298,4,25
471,4,25
278,3,40
485,4,25
168,3,40
277,4,25
216,4,25
875,3,40
997,4,25
994,3,40
536,4,25
212,4,25
226,3,40
93,4,25
610,3,40
510,3,40
594,3,40
139,3,40
599,3,40
623,3,40
273,3,40
741,3,40
837,3,40
192,3,40
726,3,40
917,3,40
440,3,40
